index,label,phoneme1,phoneme2,phoneme3,phoneme4,phoneme5,phoneme6,phoneme7
1,AA,AA,,,,,,
2,AE,AE,,,,,,
3,AH,AH,,,,,,
4,AO,AO,,,,,,
5,AW,AW,,,,,,
6,AX,AX,,,,,,
7,AXR,AXR,,,,,,
8,AY,AY,,,,,,
9,EH,EH,,,,,,
10,ER,ER,,,,,,
11,EY,EY,,,,,,
12,IH,IH,,,,,,
13,IX,IX,,,,,,
14,IY,IY,,,,,,
15,OW,OW,,,,,,
16,OY,OY,,,,,,
17,UH,UH,,,,,,
18,UW,UW,,,,,,
19,UX,UX,,,,,,
20,B,B,,,,,,
21,CH,CH,,,,,,
22,D,D,,,,,,
23,DH,DH,,,,,,
24,DX,DX,,,,,,
25,EL,EL,,,,,,
26,EM,EM,,,,,,
27,EN,EN,,,,,,
28,F,F,,,,,,
29,G,G,,,,,,
30,HH,HH,,,,,,
31,JH,JH,,,,,,
32,K,K,,,,,,
33,L,L,,,,,,
34,M,M,,,,,,
35,N,N,,,,,,
36,NG,NG,,,,,,
37,NX,NX,,,,,,
38,P,P,,,,,,
39,Q,Q,,,,,,
40,R,R,,,,,,
41,S,S,,,,,,
42,SH,SH,,,,,,
43,T,T,,,,,,
44,TH,TH,,,,,,
45,V,V,,,,,,
46,W,W,,,,,,
47,WH,WH,,,,,,
48,Y,Y,,,,,,
49,Z,Z,,,,,,
50,ZH,ZH,,,,,,
51,BAA,B,AA,,,,,
52,CHAA,CH,AA,,,,,
53,DAA,D,AA,,,,,
54,DHAA,DH,AA,,,,,
55,DXAA,DX,AA,,,,,
56,ELAA,EL,AA,,,,,
57,EMAA,EM,AA,,,,,
58,ENAA,EN,AA,,,,,
59,FAA,F,AA,,,,,
60,GAA,G,AA,,,,,
61,HHAA,HH,AA,,,,,
62,JHAA,JH,AA,,,,,
63,KAA,K,AA,,,,,
64,LAA,L,AA,,,,,
65,MAA,M,AA,,,,,
66,NAA,N,AA,,,,,
67,NGAA,NG,AA,,,,,
68,NXAA,NX,AA,,,,,
69,PAA,P,AA,,,,,
70,QAA,Q,AA,,,,,
71,RAA,R,AA,,,,,
72,SAA,S,AA,,,,,
73,SHAA,SH,AA,,,,,
74,TAA,T,AA,,,,,
75,THAA,TH,AA,,,,,
76,VAA,V,AA,,,,,
